School,Dept,Major,no. of Students,year,semester name,slot no,semester number
SoB,BBA,BBA - International Business,51,2014,Spring,1,1
SoB,BBA,BBA - Investment Management,1,2014,Spring,1,1
SoB,BBA,BBA - Management Information Systems,6,2014,Spring,1,1
SoB,BBA,BBA - Marketing,119,2014,Spring,1,1
SLASS,SOC,BSS - Anthropology,1,2014,Spring,1,1
SLASS,MED,BSS - Media and Communication,36,2014,Spring,1,1
SLS,SLS,BSc - Biochemistry,9,2014,Spring,1,1
SECS,CSE,BSc - Computer Engineering,83,2014,Spring,1,1
SECS,CSE,BSc - Computer Science,52,2014,Spring,1,1
SoB,ECO,BSc - Economics,11,2014,Spring,1,1
SECS,EEE,BSc - Electrical and Electronic Engineering,84,2014,Spring,1,1
SECS,EEE,BSc - Electronic and Telecommunication Engineering,16,2014,Spring,1,1
SESM,ESc,BSc - Environmental Management,2,2014,Spring,1,1
SESM,EMgt,BSc - Environmental Science,9,2014,Spring,1,1
SLS,SLS,BSc - Microbiology,16,2014,Spring,1,1
SLASS,Eng,BA - English Language Teaching,2,2014,Spring,2,1
SLASS,Eng,BA - English Literature,1,2014,Spring,2,1
SoB,BBA,BBA - Accounting,82,2014,Spring,2,1
SoB,BBA,BBA - Finance,103,2014,Spring,2,1
SoB,BBA,BBA - General Management,19,2014,Spring,2,1
SoB,BBA,BBA - Human Resources Management,21,2014,Spring,2,1
SoB,BBA,BBA - International Business,18,2014,Spring,2,1
SoB,BBA,BBA - Management Information Systems,4,2014,Spring,2,1
SoB,BBA,BBA - Marketing,58,2014,Spring,2,1
SLASS,MED,BSS - Media and Communication,7,2014,Spring,2,1
SECS,CSE,BSc - Computer Engineering,26,2014,Spring,2,1
SECS,CSE,BSc - Computer Science,10,2014,Spring,2,1
SoB,ECO,BSc - Economics,3,2014,Spring,2,1
SECS,EEE,BSc - Electrical and Electronic Engineering,27,2014,Spring,2,1
SECS,EEE,BSc - Electronic and Telecommunication Engineering,3,2014,Spring,2,1
SESM,ESc,BSc - Environmental Management,1,2014,Spring,2,1
SESM,EMgt,BSc - Environmental Science,2,2014,Spring,2,1
SLS,SLS,BSc - Microbiology,4,2014,Spring,2,1
SLASS,Eng,BA - English Language Teaching,7,2014,Summer,1,2
SLASS,Eng,BA - English Literature,8,2014,Summer,1,2
SoB,BBA,BBA - Accounting,196,2014,Summer,1,2
SoB,BBA,BBA - Finance,239,2014,Summer,1,2
SoB,BBA,BBA - General Management,25,2014,Summer,1,2
SoB,BBA,BBA - Human Resources Management,34,2014,Summer,1,2
SoB,BBA,BBA - International Business,35,2014,Summer,1,2
SoB,BBA,BBA - Investment Management,1,2014,Summer,1,2
SoB,BBA,BBA - Management Information Systems,9,2014,Summer,1,2
SoB,BBA,BBA - Marketing,115,2014,Summer,1,2
SLASS,SOC,BSS - Anthropology,2,2014,Summer,1,2
SLASS,MED,BSS - Media and Communication,13,2014,Summer,1,2
SLS,SLS,BSc - Biochemistry,8,2014,Summer,1,2
SECS,CSE,BSc - Computer Engineering,91,2014,Summer,1,2
SECS,CSE,BSc - Computer Science,50,2014,Summer,1,2
SoB,ECO,BSc - Economics,11,2014,Summer,1,2
SECS,EEE,BSc - Electrical and Electronic Engineering,65,2014,Summer,1,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,26,2014,Summer,1,2
SESM,ESc,BSc - Environmental Management,1,2014,Summer,1,2
SESM,EMgt,BSc - Environmental Science,5,2014,Summer,1,2
SLS,SLS,BSc - Microbiology,12,2014,Summer,1,2
SLASS,Eng,BA - English Language Teaching,2,2014,Summer,2,2
SLASS,Eng,BA - English Literature,4,2014,Summer,2,2
SoB,BBA,BBA - Accounting,81,2014,Summer,2,2
SoB,BBA,BBA - Finance,85,2014,Summer,2,2
SoB,BBA,BBA - General Management,8,2014,Summer,2,2
SoB,BBA,BBA - Human Resources Management,17,2014,Summer,2,2
SoB,BBA,BBA - International Business,15,2014,Summer,2,2
SoB,BBA,BBA - Management Information Systems,3,2014,Summer,2,2
SoB,BBA,BBA - Marketing,47,2014,Summer,2,2
SLASS,MED,BSS - Media and Communication,5,2014,Summer,2,2
SLS,SLS,BSc - Biochemistry,2,2014,Summer,2,2
SECS,CSE,BSc - Computer Engineering,23,2014,Summer,2,2
SECS,CSE,BSc - Computer Science,16,2014,Summer,2,2
SoB,ECO,BSc - Economics,3,2014,Summer,2,2
SECS,EEE,BSc - Electrical and Electronic Engineering,31,2014,Summer,2,2
SECS,EEE,BSc - Electronic and Telecommunication Engineering,7,2014,Summer,2,2
SESM,ESc,BSc - Environmental Management,1,2014,Summer,2,2
SESM,EMgt,BSc - Environmental Science,1,2014,Summer,2,2
SLS,SLS,BSc - Microbiology,4,2014,Summer,2,2
SLASS,Eng,BA - English Language Teaching,6,2014,Autumn,1,3
